,Date,Close,High,Low,Open,Volume,Symbol
20,2024-11-22,1260.9141845703125,1263.603517309969,1218.184931860249,1225.007659229742,1055840,RELIANCE.BO
21,2024-11-25,1282.6773681640625,1299.1614617283826,1277.54782979557,1289.6495231855806,962533,RELIANCE.BO
22,2024-11-26,1290.396484375,1292.6872622614164,1278.89238044968,1291.292807000055,487024,RELIANCE.BO
23,2024-11-27,1287.7569580078125,1298.613622882597,1281.0835371911496,1290.5955965890182,263573,RELIANCE.BO
24,2024-11-28,1266.292724609375,1291.6415610479842,1264.201102430278,1286.8107563964768,481819,RELIANCE.BO
25,2024-11-29,1287.3087158203125,1294.1315644800345,1269.6791732662746,1274.9082892965928,748891,RELIANCE.BO
26,2024-12-02,1303.8427734375,1305.8348176295533,1271.9202166259563,1286.5119646496917,633384,RELIANCE.BO
27,2024-12-03,1318.0858154296875,1321.422465131823,1302.049884013138,1313.6037160010708,344673,RELIANCE.BO
28,2024-12-04,1303.79296875,1323.7134113588618,1299.8088802282275,1321.6715173575603,438492,RELIANCE.BO
29,2024-12-05,1315.9443359375,1324.2113679137638,1301.203281964588,1305.5359537367174,674847,RELIANCE.BO
30,2024-12-06,1306.581787109375,1321.6216959003582,1304.5897429891197,1321.6216959003582,412701,RELIANCE.BO
31,2024-12-09,1289.998046875,1310.2172225501354,1287.7569971504465,1297.816796041497,554024,RELIANCE.BO
32,2024-12-10,1279.8385009765625,1289.8485713417142,1275.6552569466414,1284.8684610276537,438986,RELIANCE.BO
33,2024-12-11,1273.015869140625,1284.8685568893416,1270.2768082635353,1281.3824794094094,594409,RELIANCE.BO
34,2024-12-12,1258.822509765625,1273.0158247244228,1256.0337208298215,1270.1273363105988,683512,RELIANCE.BO
35,2024-12-13,1268.28466796875,1270.077556313728,1235.067356527476,1259.9679080703688,1106984,RELIANCE.BO
36,2024-12-16,1263.005859375,1276.501885738498,1261.8105599166208,1269.9281642639596,465483,RELIANCE.BO
37,2024-12-17,1240.1470947265625,1257.6273312483456,1237.6570394718772,1257.6273312483456,639483,RELIANCE.BO
38,2024-12-18,1248.0655517578125,1254.8882788844633,1236.8104532972573,1238.453914093318,260426,RELIANCE.BO
39,2024-12-19,1225.704833984375,1239.9977275258905,1224.5096560377704,1235.017616773813,424104,RELIANCE.BO
40,2024-12-20,1201.20263671875,1234.818382149312,1197.3181262631617,1225.0573170644727,1166317,RELIANCE.BO
41,2024-12-23,1217.2386474609375,1222.1191803219576,1208.3242978357596,1212.4079643414043,3332773,RELIANCE.BO
42,2024-12-24,1218.633056640625,1228.5434280423472,1216.5911626727618,1226.9996667162807,268064,RELIANCE.BO
43,2024-12-26,1211.760498046875,1223.1151746365056,1209.6190261521854,1219.7785248206897,556935,RELIANCE.BO
44,2024-12-27,1216.0931396484375,1222.7167109591812,1211.8103175506542,1211.8103175506542,653086,RELIANCE.BO
45,2024-12-30,1206.083251953125,1218.4836791504888,1203.8422021041024,1214.798445810435,314452,RELIANCE.BO
46,2024-12-31,1210.614990234375,1214.200766995287,1201.601063348313,1205.5851516740138,444246,RELIANCE.BO
47,2025-01-01,1216.7904052734375,1221.3222328123911,1207.2783457214157,1214.101072691297,380215,RELIANCE.BO
48,2025-01-02,1236.7108154296875,1239.5494539844628,1215.3959190233352,1215.8440803165593,529144,RELIANCE.BO
49,2025-01-03,1246.3721923828125,1257.2787069949434,1230.6848447877983,1242.7865372494687,502895,RELIANCE.BO
50,2025-01-06,1213.3541259765625,1256.681089197343,1210.465759029631,1246.571561713615,782428,RELIANCE.BO
51,2025-01-07,1235.9638671875,1238.4539224757395,1216.5414359392319,1216.7904414680559,512057,RELIANCE.BO
52,2025-01-08,1259.6690673828125,1265.6451998222053,1240.0474811740294,1246.2227693941784,881916,RELIANCE.BO
53,2025-01-09,1250.0076904296875,1264.350432469491,1243.0355359810756,1262.8563993733599,262909,RELIANCE.BO
54,2025-01-10,1237.4080810546875,1251.700974443768,1231.2327924218655,1250.904229682774,498991,RELIANCE.BO
55,2025-01-13,1235.1173095703125,1240.1969981929856,1220.724716623882,1225.1072383789322,810470,RELIANCE.BO
56,2025-01-14,1233.6231689453125,1250.0575329073151,1222.4179207894015,1235.0673522959626,837785,RELIANCE.BO
57,2025-01-15,1247.3184814453125,1251.7507310035576,1237.2088331620369,1242.0395158634863,287139,RELIANCE.BO
58,2025-01-16,1263.6531982421875,1269.9281861488148,1246.422088745673,1255.1870103345286,391749,RELIANCE.BO
59,2025-01-17,1296.1236572265625,1319.8289111676806,1279.5895924627036,1319.8289111676806,1514067,RELIANCE.BO
60,2025-01-20,1299.808837890625,1314.101730679986,1295.3765881884144,1314.101730679986,242236,RELIANCE.BO
