,symbol,price,timestamp,lag1,lag2,lag3,sma5,sma10,sma20,sma50,sma100,sma200
348,TCS.BO,3181.123046875,2025-04-11 00:00:00.000000,3194.704345703125,3241.403076171875,3224.7216796875,3217.83232421875,3356.339111328125,3431.4605712890625,3636.7587890625,3864.646552734375,3968.634168701172
349,TCS.BO,3196.279052734375,2025-04-15 00:00:00.000000,3181.123046875,3194.704345703125,3241.403076171875,3207.646240234375,3316.58369140625,3418.8681518554686,3620.054521484375,3857.7651953125,3966.4057165527342
350,TCS.BO,3220.9326171875,2025-04-16 00:00:00.000000,3196.279052734375,3181.123046875,3194.704345703125,3206.888427734375,3283.9388671875,3407.07783203125,3603.723251953125,3850.9390283203124,3964.1930517578126
351,TCS.BO,3246.717529296875,2025-04-17 00:00:00.000000,3220.9326171875,3196.279052734375,3181.123046875,3207.951318359375,3259.196875,3397.3198120117186,3587.778759765625,3844.003962402344,3962.0691552734374
352,TCS.BO,3269.00927734375,2025-04-21 00:00:00.000000,3246.717529296875,3220.9326171875,3196.279052734375,3222.8123046875,3237.2106201171873,3385.950244140625,3572.9739404296874,3835.663444824219,3959.951882324219
353,TCS.BO,3265.515380859375,2025-04-22 00:00:00.000000,3269.00927734375,3246.717529296875,3220.9326171875,3239.690771484375,3228.7615478515627,3377.1370361328127,3558.2261962890625,3826.61779296875,3957.735626220703
354,TCS.BO,3358.273193359375,2025-04-23 00:00:00.000000,3265.515380859375,3269.00927734375,3246.717529296875,3272.089599609375,3239.867919921875,3369.7311767578126,3544.4203076171875,3818.1445727539062,3955.6107006835937
355,TCS.BO,3347.39794921875,2025-04-24 00:00:00.000000,3358.273193359375,3265.515380859375,3269.00927734375,3297.382666015625,3252.135546875,3360.964709472656,3530.8486474609376,3809.753454589844,3953.5686975097656
356,TCS.BO,3392.76806640625,2025-04-25 00:00:00.000000,3347.39794921875,3358.273193359375,3265.515380859375,3326.5927734375,3267.2720458984377,3351.900537109375,3518.342841796875,3802.6282983398437,3951.4243676757815
357,TCS.BO,3389.0283203125,2025-04-28 00:00:00.000000,3392.76806640625,3347.39794921875,3358.273193359375,3350.59658203125,3286.704443359375,3341.362585449219,3506.81234375,3795.2193188476563,3949.0564733886717
358,TCS.BO,3416.535400390625,2025-04-29 00:00:00.000000,3389.0283203125,3392.76806640625,3347.39794921875,3380.8005859375,3310.2456787109377,3333.2923950195313,3495.7109326171876,3788.0911962890623,3947.0720959472656
359,TCS.BO,3375.348388671875,2025-04-30 00:00:00.000000,3416.535400390625,3389.0283203125,3392.76806640625,3384.215625,3328.1526123046874,3322.3681518554686,3485.1852685546874,3780.275783691406,3944.6105541992188
360,TCS.BO,3389.2744140625,2025-05-02 00:00:00.000000,3375.348388671875,3416.535400390625,3389.0283203125,3392.59091796875,3344.9867919921876,3314.4628295898438,3475.217626953125,3772.0811596679687,3942.2609619140626
361,TCS.BO,3400.4443359375,2025-05-05 00:00:00.000000,3389.2744140625,3375.348388671875,3416.535400390625,3394.126171875,3360.35947265625,3309.778173828125,3466.2823681640625,3762.9917456054686,3940.1427490234373
362,TCS.BO,3404.184326171875,2025-05-06 00:00:00.000000,3400.4443359375,3389.2744140625,3375.348388671875,3397.157373046875,3373.8769775390624,3305.543798828125,3456.9564013671875,3754.0629443359376,3937.9674938964845
363,TCS.BO,3390.652099609375,2025-05-07 00:00:00.000000,3404.184326171875,3400.4443359375,3389.2744140625,3391.980712890625,3386.3906494140624,3307.5760986328123,3447.9374951171876,3744.9451879882813,3936.1179577636717
364,TCS.BO,3392.8662109375,2025-05-08 00:00:00.000000,3390.652099609375,3404.184326171875,3400.4443359375,3395.48427734375,3389.849951171875,3314.858935546875,3439.631123046875,3736.043811035156,3934.217933349609
365,TCS.BO,3387.699462890625,2025-05-09 00:00:00.000000,3392.8662109375,3390.652099609375,3404.184326171875,3395.169287109375,3393.8801025390626,3323.0078247070314,3432.955517578125,3727.1332958984376,3931.031151123047
366,TCS.BO,3562.979736328125,2025-05-12 00:00:00.000000,3387.699462890625,3392.8662109375,3390.652099609375,3427.6763671875,3410.90126953125,3339.0866577148436,3429.85244140625,3719.6914575195315,3928.802042236328
367,TCS.BO,3460.281982421875,2025-05-13 00:00:00.000000,3562.979736328125,3387.699462890625,3392.8662109375,3438.8958984375,3418.0266357421874,3352.3655395507812,3424.5418798828123,3711.06173828125,3926.0240979003906
368,TCS.BO,3492.858154296875,2025-05-14 00:00:00.000000,3460.281982421875,3562.979736328125,3387.699462890625,3459.337109375,3425.6589111328126,3367.952294921875,3422.0647412109374,3703.315393066406,3922.7408251953125
369,TCS.BO,3524.055908203125,2025-05-15 00:00:00.000000,3492.858154296875,3460.281982421875,3562.979736328125,3485.575048828125,3440.5296630859375,3384.3411376953127,3421.073681640625,3696.7652783203125,3919.621007080078
370,TCS.BO,3506.537841796875,2025-05-16 00:00:00.000000,3524.055908203125,3492.858154296875,3460.281982421875,3509.342724609375,3452.256005859375,3398.6213989257812,3420.1013232421874,3689.8099780273437,3916.4933740234374
371,TCS.BO,3463.48046875,2025-05-19 00:00:00.000000,3506.537841796875,3524.055908203125,3492.858154296875,3489.44287109375,3458.559619140625,3409.4595458984377,3420.7961474609374,3683.1653247070312,3913.071884765625
372,TCS.BO,3442.665283203125,2025-05-20 00:00:00.000000,3463.48046875,3506.537841796875,3524.055908203125,3485.91953125,3462.40771484375,3418.1423461914064,3420.825673828125,3677.312253417969,3909.528485107422
373,TCS.BO,3469.139404296875,2025-05-21 00:00:00.000000,3442.665283203125,3463.48046875,3506.537841796875,3481.17578125,3470.2564453125,3428.3235473632812,3420.6741162109374,3671.8326440429687,3906.036960449219
374,TCS.BO,3423.9169921875,2025-05-22 00:00:00.000000,3469.139404296875,3442.665283203125,3463.48046875,3461.147998046875,3473.3615234375,3431.6057373046874,3419.28939453125,3665.670322265625,3902.005769042969
375,TCS.BO,3458.362548828125,2025-05-23 00:00:00.000000,3423.9169921875,3469.139404296875,3442.665283203125,3451.512939453125,3480.42783203125,3437.1539672851563,3417.6025244140624,3659.9689086914063,3898.1841638183596
376,TCS.BO,3482.031982421875,2025-05-26 00:00:00.000000,3458.362548828125,3423.9169921875,3469.139404296875,3455.2232421875,3472.333056640625,3441.6171630859376,3416.1607177734377,3654.51046875,3894.5577880859373
377,TCS.BO,3443.501953125,2025-05-27 00:00:00.000000,3482.031982421875,3458.362548828125,3423.9169921875,3455.390576171875,3470.6550537109374,3444.3408447265624,3414.4049658203126,3648.7537060546874,3890.6404296875
378,TCS.BO,3442.763671875,2025-05-28 00:00:00.000000,3443.501953125,3482.031982421875,3458.362548828125,3450.1154296875,3465.64560546875,3445.6522583007813,3412.894267578125,3643.5863037109375,3886.6658764648437
379,TCS.BO,3441.82861328125,2025-05-29 00:00:00.000000,3442.763671875,3443.501953125,3482.031982421875,3453.69775390625,3457.4228759765624,3448.97626953125,3412.768291015625,3638.258798828125,3883.2301245117187
380,TCS.BO,3409.646484375,2025-05-30 00:00:00.000000,3441.82861328125,3442.763671875,3443.501953125,3443.954541015625,3447.733740234375,3449.994873046875,3411.8264404296874,3631.918984375,3880.249001464844
381,TCS.BO,3395.17919921875,2025-06-02 00:00:00.000000,3409.646484375,3441.82861328125,3442.763671875,3426.583984375,3440.90361328125,3449.7316162109373,3410.8924658203123,3626.255930175781,3877.121307373047
382,TCS.BO,3351.137939453125,2025-06-03 00:00:00.000000,3395.17919921875,3409.646484375,3441.82861328125,3408.111181640625,3431.75087890625,3447.079296875,3407.9872119140623,3620.196435546875,3873.6283203125
383,TCS.BO,3356.598876953125,2025-06-04 00:00:00.000000,3351.137939453125,3395.17919921875,3409.646484375,3390.87822265625,3420.496826171875,3445.3766357421873,3406.2835986328123,3614.83419921875,3870.3067602539063
384,TCS.BO,3348.059814453125,2025-06-05 00:00:00.000000,3356.598876953125,3351.137939453125,3395.17919921875,3372.124462890625,3412.9111083984376,3443.1363159179687,3403.1169873046874,3608.620224609375,3866.657395019531
385,TCS.BO,3361.71240234375,2025-06-06 00:00:00.000000,3348.059814453125,3356.598876953125,3351.137939453125,3362.537646484375,3403.24609375,3441.836962890625,3399.896689453125,3603.2274658203123,3863.239934082031
386,TCS.BO,3399.443115234375,2025-06-09 00:00:00.000000,3361.71240234375,3348.059814453125,3356.598876953125,3363.3904296875,3394.98720703125,3433.6601318359376,3396.404521484375,3595.9999389648438,3860.0164318847656
387,TCS.BO,3438.961181640625,2025-06-10 00:00:00.000000,3399.443115234375,3361.71240234375,3348.059814453125,3380.955078125,3394.5331298828123,3432.594091796875,3393.187998046875,3588.9139208984375,3856.5246484375
388,TCS.BO,3447.5498046875,2025-06-11 00:00:00.000000,3438.961181640625,3399.443115234375,3361.71240234375,3399.145263671875,3395.0117431640624,3430.3286743164062,3390.5802099609373,3582.474775390625,3852.4737646484373
389,TCS.BO,3409.620361328125,2025-06-12 00:00:00.000000,3447.5498046875,3438.961181640625,3399.443115234375,3411.457373046875,3391.79091796875,3424.606896972656,3386.8959521484376,3575.5133081054687,3847.8823229980467
390,TCS.BO,3422.677490234375,2025-06-13 00:00:00.000000,3409.620361328125,3447.5498046875,3438.961181640625,3423.650390625,3393.0940185546874,3420.4138793945312,3384.401884765625,3569.073317871094,3843.196140136719
391,TCS.BO,3470.585693359375,2025-06-16 00:00:00.000000,3422.677490234375,3409.620361328125,3447.5498046875,3437.87890625,3400.63466796875,3420.769140625,3383.930849609375,3563.175400390625,3838.6089831542968
392,TCS.BO,3490.344482421875,2025-06-17 00:00:00.000000,3470.585693359375,3422.677490234375,3409.620361328125,3448.15556640625,3414.555322265625,3423.1531005859374,3383.960302734375,3557.9548486328126,3834.370068359375
393,TCS.BO,3427.7412109375,2025-06-18 00:00:00.000000,3490.344482421875,3470.585693359375,3422.677490234375,3444.19384765625,3421.6695556640625,3421.0831909179688,3385.5150048828127,3552.52751953125,3829.9914233398435
394,TCS.BO,3399.9892578125,2025-06-19 00:00:00.000000,3427.7412109375,3490.344482421875,3470.585693359375,3442.267626953125,3426.8625,3419.8868041992187,3388.5706005859374,3545.6451171875,3825.2949487304686
395,TCS.BO,3410.017822265625,2025-06-20 00:00:00.000000,3399.9892578125,3427.7412109375,3490.344482421875,3439.735693359375,3431.6930419921873,3417.4695678710937,3392.2765234375,3538.9446826171875,3820.621622314453
396,TCS.BO,3369.35791015625,2025-06-23 00:00:00.000000,3410.017822265625,3399.9892578125,3427.7412109375,3419.49013671875,3428.684521484375,3411.8358642578123,3394.8356201171873,3531.7825390625,3815.726678466797
397,TCS.BO,3366.180419921875,2025-06-24 00:00:00.000000,3369.35791015625,3410.017822265625,3399.9892578125,3394.65732421875,3421.4064453125,3407.9697875976562,3398.2651416015624,3525.4261450195313,3810.616774902344
398,TCS.BO,3421.237548828125,2025-06-25 00:00:00.000000,3366.180419921875,3369.35791015625,3410.017822265625,3393.356591796875,3418.7752197265627,3406.8934814453123,3403.067431640625,3519.9131103515624,3805.9315832519533
399,TCS.BO,3417.265869140625,2025-06-26 00:00:00.000000,3421.237548828125,3366.180419921875,3369.35791015625,3396.8119140625,3419.5397705078126,3405.6653442382812,3407.48716796875,3513.7708447265627,3801.2682250976563
400,TCS.BO,3418.75537109375,2025-06-27 00:00:00.000000,3417.265869140625,3421.237548828125,3366.180419921875,3398.559423828125,3419.14755859375,3406.1207885742188,3411.443623046875,3507.5834375,3796.7692138671873
401,TCS.BO,3436.528564453125,2025-06-30 00:00:00.000000,3418.75537109375,3417.265869140625,3421.237548828125,3411.9935546875,3415.741845703125,3408.1882568359374,3415.23984375,3501.5093017578124,3792.3556945800783
